Japanese,English
びり,Affirmation
ふんだん,Abundant
ぶかぶか,too big
ぶらぶら,Hanging on
ぶら下げる,hang
ぺこぺこ,Be very hungry
ほっと,Relieved
ぼつぼつ,Bottle
ぼやく,Blur
ぼやける,Blur
まごつく,Be mad
もろに,All the way
やっ付ける,Set
ややこしい,Complicated
やり遂げる,Accomplish
ゆとり,Room
アイデア,idea
アクセル,accelerator
アップ,up
アプローチ,approach
アマチュア,amateur
アラブ,Arab
アルカリ,alkali
アルミ,Aluminum
アワー,Hour
アンケート,questionnaire
アンコール,Encore
イエス,Jesus
インターチェンジ,Interchange
インターナショナル,International
インターフォン,Intercom
インテリ,Intellectual
インフォメーション,information
インフレ,Inflation
ウェートレス,Waitress
エアメール,Airmail
エレガント,elegant
エンジニア,engineer
オリエンテーション,orientation
オレンジ,orange
オンライン,online
オーケー,Ok
オートマチック,automatic
オープン,open
カクテル,Cocktail
カット,cut
カテゴリー,Category
カムバック,comeback
カメラマン,Photographer
カルテ,Chart
カンニング,Cheating
カーペット,carpet
ガイド,guide
ガイドブック,Guidebook
ガレージ,garage
キャッチ,catch
キャリア,Career
クイズ,quiz
クラブ,club
クレーン,crane
グラフ,graph
グレー,gray
ゲスト,The guests
コマーシャル,commercial
コミュニケーション,communication
コメント,comment
コンタクト,contact
コンテスト,Contest
コントラスト,contrast
コントロール,Control
コンパス,compass
コーナー,corner
サイクル,cycle
サイズ,size
サボる,Skip
サンキュー,thank you
サンタクロース,Santa Claus
システム,system
シック,chic
シナリオ,scenario
ショック,shock
ショー,show
シート,Seat
ジャズ,jazz
ジャンパー,jumper
ジャンプ,Jump
ジャンボ,jumbo
ジャンル,Genre
ジーパン,jeans
スタジオ,studio
スチーム,steam
ストライキ,strike
ストレス,stress
ストロボ,strobe
ストロー,straw
スピード,speed
スプリング,spring
スペース,space
スポーツカー,sports car
スラックス,slacks
セクション,section
セックス,Sex
セレモニー,ceremony
センス,sense
セール,Sale
ゼリー,jelly
ソックス,socks
ソロ,solo
ソース,sauce
タイトル,title
タイピスト,typist
タイマー,timer
タイミング,timing
タイム,time
タイムリー,Timely
タイヤ,tire
タイル,tile
タレント,talent
タワー,Tower
ダウン,down
ダブる,Double
ダンプ,dump
ダース,dozen
チェンジ,change
チャイム,chime
チャンネル,Channel
チームワーク,Teamwork
ティッシュペーパー,Tissue paper
テレックス,telex
デコレーション,decoration
デザイン,design
デザート,dessert
デッサン,Sketch
デモンストレーション,demonstration
データ,data
トラブル,trouble
トランジスター,transistor
トーン,tone
ドライ,dry
ドライクリーニング,Dry cleaning
ドライバー,driver
ドライブイン,Drive -in
ドリル,Drill
ナイター,Night game
ナプキン,napkin
ナンセンス,Nonsense
ニュアンス,Nuance
ニュー,new
ネガ,negative
ノイローゼ,neurosis
ハンガー,Hanger
バッジ,badge
バット,bat
バー,bar
パジャマ,pajamas
パチンコ,pachinko
パトカー,Police car
パンク,punk
ヒント,Hint
ビジネス,business
ビールス,virus
ファイト,Fight
ファイル,File
ファン,fan
フィルター,filter
フェリー,ferry
フォーム,Form
フロント,front
ブザー,buzzer
ブルー,blue
ブーツ,boots
ブーム,boom
ベスト,Vest
ベストセラー,best seller
ベース,base
ペア,pair
ホース,hose
ホール,hole
ボイコット,boycott
ボルト,bolt
ポイント,point
ポジション,position
ポット,pot
ポンプ,pump
ポーズ,Pause
マスコミ,Media
マッサージ,Massage
マーク,mark
ミスプリント,Misprint
ミセス,Mrs
ミュージック,Music
ミリ,Millimeter
ムード,Mood
メッセージ,message
メディア,media
メロディー,melody
メーカー,Maker
モニター,monitor
モーテル,Motel
ヤング,Young
ユニフォーム,uniform
ユニーク,unique
ライス,rice
ラベル,label
ランプ,lamp
ルーズ,loose
ルール,rule
レギュラー,regular
レクリエーション,Recreation
レッスン,lesson
レディー,ready
レバー,lever
レンジ,range
レンタカー,Rental car
レントゲン,X -ray
レース,race
ロマンチック,romantic
ロープ,rope
ローマ字,Roman letters
ワット,Wat
ヶ月,months
一々,One by one
一まず,For the first time
一人,One person
一人でに,Alone
一切,All
一別,One separate
一同,All
一向,Daring
一変,Unusual
一定,Constant
一寸,One size
一帯,Whole area
一律,Uniformity
一心,Intimacy
一息,breath
一括,Collectively
一挙に,All at once
一敗,Defeat
一日,one day
一昨昨日,Last yesterday
一概に,In general
一様,Uniformity
一気,At a glance
一目,glance
一筋,For a while
一見,Glimpse
一言,Word
一連,Series
一部,part
一部分,Partial
一面,one side
一頃,One time
丁々,clashing of swords
丁目,Chin -chin
七日,seven days
万,Ten thousand
万人,Ten thousand people
万能,All -purpose
丈,height
丈夫,Durable
三,three
三味線,Shamisen
三日月,Crescent Moon
上がり,Rising
上がる,Go up
上下,Up and down
上位,Top position
上司,boss
上回る,Exceed
上手,good
上昇,rise
上演,Performance
上空,Above the sky
上陸,landing
下がる,Go down
下らない,worthless
下位,Lower rank
下取り,Trade -in
下吏,Subordinate
下品,Vulgarity
下地,Base
下心,Heart
下火,Fire
下番,Underneath
下痢,diarrhea
下調べ,Preliminary research
不便,inconvenience
不動産,real estate
不可欠,necessary
不吉,Ominous
不味い,Unbelievable
不図,Casually
不在,absence
不審,distrust
不山戯る,Squeeze
不当,Unfairness
不意,Unexpected
不振,Slump
不明,not clear
不景気,Recession
不服,Discontinuity
不況,recession
不良,Defect
不評,Unpopular
不調,Inconvenience
不順,Inadequate
与党,Ruling party
且つ,and
世,world
世代,generation
世帯,Household
世論,public opinion
世辞,Flattering
丘陵,Hill
両極,Both sides
両立,Balance
並びに,and
並み,Average
並列,Parallel
中傷,Slander
中和,Neutrality
中指,middle finger
中断,Interruption
中枢,Center
中毒,Poisoning
中程,middle
中立,Neutral
中継,relay
中腹,Hungry
丸々,completely
丸ごと,Whole
丸っきり,Round
丸で,In a circle
丸める,Round
主人公,main character
主任,Chief
主体,Subject
主催,Sponsoring
主導,Initiative
主権,sovereignty
主演,starring
主観,Subjectivity
主題,subject
主食,staple food
乃至,Oriented
久しい,long
久し振り,After a long time
乏しい,poor
乗っ取る,Take over
乗り換え,transfer
乗り込む,Get in
乗客,passenger
乙,First
乱す,Disturb
乱れる,Be disturbed
乳,milk
乾,Drying
了,Completion
了承,understand
了解,roger that
予め,In advance
予想,Predict
予感,Premonition
予言,Prophecy
争い,Conflict
事によると,According to
事前,advance
事柄,Matter
事業,business
事項,Matter
二人,Two persons
云々,So
五月蝿い,May fly
些とも,In addition
些事,something small
亜科,Subfamily
交える,Join
交わす,dodge
交わる,Intersect
交互,Alternate
交付,Grant
交易,trade
交渉,negotiation
享受,Enjoyment
人,Man
人体,human body
人情,humanity
人材,Human resources
人柄,personality
人格,personality
人民,People
人目,Person
人質,hostage
今日は,Today is
今晩は,tonight
今更,now
介入,intervention
介抱,Holding
介護,nursing
仏,Buddha
仏像,Buddha image
仕える,serve
仕上がり,finish
仕上げ,Finishing
仕上げる,Finish
仕付ける,Set
仕入れる,Purchase
仕切る,Partition
仕掛け,Device
仕掛ける,Set up
仕様,specification
仕立てる,tailor
仕組み,structure
仕舞,End
仕舞う,End up
他人,others
他動詞,Transsexual verb
他意,Other will
他方,On the other hand
付き,Accompaniment
付き合う,keep company
付け加える,add
付属,Attached
付録,appendix
仙,Outrageous
代,Substitute
代わる,replace
代わる代わる,Substitute
代弁,Substitute
代用,substitute
以て,By
仮,tentative
仮令,if
仰ぐ,Ask
仰っしゃる,Be
仲人,matchmaker
件,subject
任す,Entrust
任務,mission
任命,Appointment
企画,plan
伊井,Ii
伐,Fogging
休める,rest
休学,Absence from school
休戦,Truce
会,Meeting
会見,Conference
会談,Conversation
伜,Lingering
伝来,Transmission
伝言,message
伝説,Legend
伝達,Communication
伴う,Accompany
似通う,Be similar
位地,position
住,Residence
佐,Sauce
体,body
体付き,Body
体力,Physical strength
体格,Physique
体裁,Appearance
体験,Experience
何々,what
何しろ,Anyway
何だか,somehow
何て,What
何と,What
何となく,somehow
何とも,Anyway
何なり,Whatever
何の,What
何も,nothing
何より,More than anything
何れ,Anyway
何処,where
何処か,Somewhere
何卒,kindly
何故,why
何故なら,Because
何方,Who
何時,What time
何時か,Someday
何時でも,anytime
何時の間にか,In the meantime
何時までも,Forever
何時も,always
何気ない,casual
余り,remainder
余地,room
余所見,looking away
余暇,Spare time
余程,very
余興,entertainment
作,Work
作り,Making
作戦,Strategy
作物,produce
作用,Action
佳句,Beautiful passage of literature
使い道,use
使命,mission
使用人,Servant
例,example
例え,example
侍,samurai
供,Service
依,Dependence
依って,By
依存,reliance
依然,still
侮辱,insult
侵す,Invade
侵略,Invasion
便宜,convenience
係り,Person in charge
促す,prompt
促進,Promoting
俄か,Sudden
保つ,keep
保守,Maintenance
保母,Carrier
保温,Heat insulation
保管,storage
保育,Childcare
保護,protection
保険,insurance
保障,security
保養,Recreation
信任,confidence
信者,Believer
修了,Completion
修士,Master's master
修学,Study
修行,Training
修飾,Modification
俺,I
個,Individual
個々,individual
個別,Individual
個性,Personality
倍率,magnification
倒産,bankruptcy
借り,Borrowed
倣,Imitation
値,value
値する,Be valued
値引き,discount
値打ち,value
倹約,Thrift
偏,side
偏る,Be biased
偏見,prejudice
偖,now
停滞,Stagnation
健やか,healthy
健全,Sound
健在,Alive
側,~ side
側面,side
偶に,By chance
偽造,Counterfeiting
傍ら,beside
傑,Great man
備え付ける,Provide
備わる,Be
催す,hold
傲る,be proud
傷,scratch
傷付く,Be injured
傾,Inclination
傾く,Lean
傾ける,Lean
傾斜,Slope
僅,Little
働,Work
像,image
僕,I
僧,monk
優,Superior
優位,Dominance
優先,priority
優勢,Superiority
優美,Graceful
優越,Superiority
元年,First year
元来,originally
元素,element
元首,Lord
充実,fullness
兆,Trillion
兆し,signs
先だって,Earlier
先に,Earlier
先代,Predecessor
先先月,Last month
先先週,Last week
先天的,congenital
先着,First -served
先行,Precedence
光沢,Luster
光熱費,Utility costs
免れる,Be exempt from
免除,Exemption
兎に角,Anyway
兎も角,Anyway
兎角,Anyway
児,child
入る,come in
入口,entrance
入手,obtain
入浴,bathing
入賞,Winning award
全快,All pleasure
全滅,Annihilation
全盛,Heyday
公,public
公募,Public offering
公団,Public corporation
公演,Performance
公然,Public
公用,Public use
公立,public
公認,Official recognition
公開,Release
六,Six
共,Both
共働き,Working together
共和,Republic
共存,Coexistence
共学,Co -education
共感,sympathy
共産,Communist
共稼ぎ,Earning money
共鳴,Resonance
兵器,weapons
兵士,soldier
其の儘,So
其れ,it
其れから,So
其れで,So
其れでは,So
其れでも,Still
其れに,So
其れ共,So
其れ故,Hence
其れ程,So much
其処,There
其処で,In that place
其処ら,Other ways
其方,Otherwise
兼ねて,As well as
兼業,Part -time work
兼用,Combined use
内乱,Civil war
内臓,Internal organs
内訳,breakdown
内部,internal
内閣,Cabinet
内陸,inland
円満,Harmoniousness
円滑,Smoothness
冊,Book
再,Re -
再会,Reunion
再建,Reconstruction
再現,Reproduction
再生,reproduction
再発,recurrence
冒頭,beginning
写し,copy
冠,crown
冬眠,hibernation
冴える,Be clear
冷やかす,Chill
冷淡,Coolness
冷蔵,Refrigeration
冷酷,ruthless
凌ぐ,Surpass
凝らす,Stir
凝る,Be stiff
几帳面,Meticulous
凡そ,about
凡ゆる,Universal
処分,disposal
処置,treatment
処罰,Punishment
凭れる,Be overwhelmed
凶作,Crop
出くわす,come across
出世,Advancement
出入り口,Doorway
出切る,Be out of place
出動,Dispatch
出合う,encounter
出品,Exhibition
出来物,Portrait
出演,Appearance
出生,Birth
出産,childbirth
出直し,Rehabilitation
出社,go to the office
出血,bleeding
出費,Expenditure
出題,Question
出鱈目,random
刃,blade
分,Part
分子,molecule
分担,Share
分散,Dispersion
分業,Division of labor
分母,denominator
分裂,division
分配,Distribution
分離,Separation
切っ掛け,Trick
切ない,painful
切り,Cut -out
切り替える,Switch
切れ目,Cut
切実,Urgent
切開,Incision
刊行,Publication
刑,Punishment
刑罰,punishment
初,first time
初版,First edition
初耳,Ears of the first time
判,Judgment
判定,judgement
判決,Judgment
利子,interest
利息,Interest
利根,Interest
利潤,profit
利点,advantage
到底,Far
到達,Arrival
制,Control
制する,Control
制定,Establishment
制服,uniform
制約,Restrictions
制裁,Sanctions
刷り,Printing
刺,thorn
刺繍,embroidery
剃る,shave
削減,Reduction
前,Before
前もって,In advance
前例,Precedent
前売り,Advance sale
前提,Prerequisite
前置き,Introduction
前途,In advance
剥がす,Peel off
剥ぐ,Peel off
剥げる,Peel off
副,Vice
割,Percentage
割り当て,allocation
割り算,division
割り込む,interrupt
割合に,Ratio
割引き,Discount
創刊,Launch
創立,Founding
創造,Creation
劇団,Theatrical company
加入,Joining
加味,Adding
加工,processing
加留多,Many
助,Help
助け,Help
助動詞,Auxiliary verb
助言,advice
助詞,Particle
努めて,Effortlessly
励ます,encourage
励む,Try to work hard
労る,Care for
労力,effort
効き目,efficacy
効率,efficiency
勇敢,Bravery
動き,Movement
動力,power
動向,Trend
動員,mobilization
動揺,upset
動機,Motivation
動的,dynamic
勘弁,Excuse
勝る,Win
勝利,victory
募る,Recruit
募金,Donation
勢力,power
勤まる,Be served
勤め先,Destination
勤労,Work
勤勉,Diligent
勤務,Work
勧め,Recommendation
勧告,Recommendation
勧誘,Solicitation
包む,Wrap
化ける,Be transformed
化する,Make
化合,Conversion
化石,fossil
化繊,Synthetic fibers
匹,Animal
匹敵,Comparable
区,Ward
区々,Every ward
区切り,Separation
区画,section
区間,section
十分,sufficient
十字路,crossroads
半端,Odd
卑しい,Humorous
協会,Association
協定,Agreement
協調,Coordination
協議,Discussions
南,South
単,single
単一,single
単独,Independence
単調,Monoton
占領,occupation
卯,Rabbit
印,mark
印鑑,signature stamp
危ぶむ,Be in danger
危害,harm
危機,crisis
即する,Succeed in
即ち,That is
即座に,Immediately
原,original
原っぱ,Rattle
原作,original
原典,Original text
原則,principle
原子,atom
原形,Original shape
原文,Original text
原書,Original book
原油,crude oil
原点,origin
原爆,Atomic bomb
厭々,Disgusting
厭やらしい,Disgusting
厳か,Strict
厳密,Strict
参上,Attending
参照,reference
参議院,Upper House of Councilors
及び,as well as
及ぶ,Be
反,Anti
反する,Be controversial
反り,warp
反乱,Rebellion
反射,Reflection
反応,reaction
反感,Opposition
反撃,Counterattack
反発,Opposition
反響,Resonance
収まる,Be accumulated
収容,Accommodation
収支,Balance of payments
収益,Profit
収集,collection
取っ手,Handle
取りあえず,For the time being
取り分,Division
取り寄せる,order
取り巻く,Shut up
取り引き,transaction
取り戻す,regain
取り扱い,handling
取り扱う,handle
取り替え,Replacement
取り次ぐ,Serve
取り混ぜる,Be added
取り立てる,Make up
取り組む,work on
取り締まり,control
取り締まる,Crack down
取り調べる,Investigate
取り除く,remove
取材,Interview
受かる,Be accepted
受け付ける,accept
受け入れ,accept
受け入れる,accept
受け取り,Acceptance
受け止める,Perceive
受け継ぐ,inherit
受身,passive
口ずさむ,Spoil
口述,Dialogue
口頭,oral
古,Old
古代,Ancient times
叫び,Shouting
召す,Call
可哀想,poor
可愛い,pretty
可愛がる,Be loving
可愛らしい,lovely
可成,Possible
可笑しい,funny
台本,Script
台無し,spoil
叶う,come true
叶える,Grant
号,issue
司る,Control
司法,Justice
吃逆,Stuttering
吃驚,Surprise
各,each
各々,Each
各種,Various kinds
合わす,Match
合わせ,Match
合併,merger
合唱,Chorus
合意,agreement
合成,Synthesis
合致,Matching
合議,Parliament
合間,Interval
吊り革,strap
吊るす,Hang
同,same
同い年,Same age
同士,With each other
同封,Enclosure
同居,Living together
同志,Comrades
同情,sympathy
同意,Consent
同感,Agree
同盟,alliance
同等,Equivalent
同級,Same class
同調,tuning
名付ける,Name
名札,Nameplate
名残,Remnants
名産,Specialty
名称,name
名簿,List
名誉,honor
名高い,Famous
吐く,Vomit
向き,direction
向け,for
向上,Improvement
君主,Monarch
吝嗇,Lingering
吟味,Scrutiny
否,no
否決,Rejection
含嗽,Gargle
吹奏,Brass band
呆れる,Be amazed
呆気ない,Be afraid
呆然,Stunned
呉れる,give
呉れ呉れも,Wu Kure
告げる,Tell
告白,Confession
呟く,Mutter
周,Circumference
周期,period
味わい,Taste
味覚,taste
呼び止める,Stop calling
命中,hit
咄嗟,Instant
和,sum
和やか,Peaceful
和らげる,relieve
和文,Japanese sentence
和風,Japanese style
咎める,blame
品種,Variety
品質,quality
哉,Ya
員,Member
唱える,recite
唸る,Groan
唾,saliva
商,quotient
商人,merchant
問,Question
問い合わせる,Inquire
問う,Ask
問屋,Wholesaler
善し悪し,good or bad
善良,Good
喋る,Speak
喜劇,comedy
喧しい,noisy
喫茶,Cafe
営む,Run
嗚呼,Oh
嗜好,preference
嘆く,Mourn
嘗て,Once
嘗める,lick
嘘つき,Liar
嘴,beak
嘸,I am sure
噛み切る,Bite off
噛る,Chew
器,vessel
器官,organ
噴出,Gushing
嚏,Lingering
囀る,sing
回収,collect
回覧,pass round for perusal
回路,circuit
回送,Forwarding
団扇,fan
団結,Unity
図々しい,Impudent
図る,Plan
固める,Harden
固体,solid
固定,Fixation
固有,Clinical
国交,Diplomatic relations
国土,Country of country
国境,Border
国定,National residence
国有,State ownership
国産,Domestic product
国連,united nations
国防,National defense
圏,Sphere
園,Garden
土俵,Ring
土台,Base
土手,bank
土木,Civil engineering
土産,gift
圧力,pressure
圧迫,Compression
在庫,stock
地主,Landlord
地元,local
地形,terrain
地方,Region
地獄,hell
均衡,Balance
坊ちゃん,Monk
垂れる,Drip
垢,Dirt
埋まる,Be filled
埋め込む,Embed
埋蔵,Buried
城下,Castle
域外,Outside the area
執着,Obsession
基,Base
基金,Fund
堂々,proudly
堤防,Embankment
堪える,bear
堪らない,unbearable
報じる,Report
報ずる,Reward
報道,Report
報酬,Reward
塩,salt
填まる,Be packed
填める,Hold
塵取り,dustpan
塾,cram school
境遇,Situation
墓地,Graveyard
増し,Addition
増強,Enhancement
増進,Improvement
墜落,Crash
壇,Podium
壮大,magnificent
声明,statement
売り出し,sale
売り出す,Sell
売れ行き,sales
壷,pot
変動,Fluctuation
変遷,Change
変革,Transformation
夕暮れ,evening
夕焼け,sunset
外方,Outside
外来,Outpatient
外相,Foreign Minister
外観,exterior
外貨,Foreign currency
多忙,Busy
多数決,Majority vote
多様,Diverse
夜中,Midnight
夜具,Night equipment
夜更かし,The night owl
夜更け,Late at night
夜行,Night line
夥しい,Abundant
大げさ,exaggerated
大ざっぱ,Roughly
大事,Important
大人しい,quiet
大便,Stool
大幅,Large width
大方,Mostly
大柄,Large pattern
大概,Mostly
大水,flood
大空,Large sky
大筋,Great streaks
大胆,Bold
大衆,Masses
大部,most
大金,Big money
天,Heaven
天井,ceiling
天体,Celestial body
天国,heaven
天地,Heaven and earth
天才,genius
天災,Natural disaster
天皇,Emperor
失格,Disqualification
失調,Grumb
奇数,Odd number
奇麗,Beautiful
奉る,Serve
奉仕,service
契る,promise
契機,Opportunity
奨励,Encouragement
奮闘,Struggle
女史,Maiden's history
女子,Girl
奴,guy
好い,good
好ましい,preferable
好意,Good feeling
好況,Boom
好評,Popularity
好調,Performing well
如何,What
如何して,How
如何しても,Anyway
如何に,How
如何にも,Anyway
妊娠,pregnancy
妥協,compromise
妥結,Conclusion
妨害,Hindrance
妬む,Be jealous
姉妹,Sisters
始め,start
始めまして,nice to meet you
始末,Cleaning up
始発,First train
姓名,Names
委託,Outsourcing
威力,power
婉曲,Euphemism
婿,Son -in -law
嫉妬,envy
嫋か,嫋
嬢,Young lady
子息,son
字,Character
字体,Font
存続,Survival
季刊,quarterly
孤児,Orphan
孤独,Loneliness
孤立,Isolation
学士,Bachelor
学歴,Educational background
学芸,Arts
学説,theory
守備,Defense
守衛,Guard
安っぽい,Cheap
安静,rest
完璧,perfect
官僚,Officials
宙返り,somersault
定まる,Be determined
定める,stipulate
定年,Retirement age
定義,Definition
定食,Set meal
宛,Addressed to
宛てる,Address
宜しく,Favorably
宝器,Treasure
実,fruit
実情,Reality
実態,Reality
実業家,Businessman
実費,Actual expenses
実質,Reality
実践,Practice
客観,objective
宣教,Ministry
宣言,declaration
室,Room
宮殿,Palace
害する,Be harmful
家主,landlord
家出,Leaving home
家来,Visit to the house
家畜,livestock
家計,Household budget
容易い,easy
宿命,Fate
寄こす,Get close to
寄り掛かる,Be close to
寄与,contribution
寄贈,Donation
密か,Secret
密度,density
密接,Close
密集,Dense
富,wealth
富む,Be rich
富豪,Rich man
寒気,cold
寛容,tolerance
寝かせる,Lying down
察する,Sympathize
審判,Referee
審査,examination
審議,Deliberation
対して,for
対処,handle
対応,correspondence
対抗,Competition
対比,Comparison
対決,Confrontation
対立,Conflict
対等,equal status
対話,Dialogue
対談,Dialogue
対辺,Opposite
対面,in person
封,Sealing
封建,Feudal
封鎖,Blockade
専ら,solely
専修,Specialization
専用,exclusive
尉,Ledger
尊い,precious
尊ぶ,Respect
導く,Guide
導入,introduction
小児科,Pediatrics
小切手,check
小売,retail
小柄,Small pattern
小銭,coin
少なくとも,at least
少女,Girl
少数,a few
尚,still
尚更,Further
就業,Employment
尻尾,tail
尽きる,run out
尽くす,Exhaust
尾,tail
尿,urine
局限,Station limit
居住,Residence
屈折,refraction
届け,Notification
屋敷,Mansion
屎尿,human waste
展望,Outlook
展示,Exhibition
屡,Lingering
履歴,history
山岳,Mountain
山脈,Mountain range
山腹,Hillside
屹度,Risingness
岩石,rock
峰,Peak
崇拝,worship
崖,cliff
崩壊,Collapse
嵩む,Be expensive
嵩張る,Be bulky
工作,Work
工学,engineering
左利き,left handed
左様なら,If you are left
左程,Left
巧み,Skillful
巧妙,Clever
巨,Great
差し出す,Send out
差し引く,Deduct
差し掛かる,Approach
差し支える,Shift
差異,difference
差額,difference
巻,roll
市,city
市街,city
布告,Declaration
布巾,Cloth
帯びる,Be understood
帰京,Returning to Tokyo
帳,Book
幕,curtain
干し物,Dried food
干渉,interference
平たい,flat
平均,average
平常,normal
平方,square
平行,parallel
年号,Year
年寄り,Elderly
年生,Year
年輪,Annual ring
年鑑,Year -end
年長,Older
年頃,Around the time
幹,stem
幹線,Trunk line
幹部,Executive
幽霊,ghost
幾多,Many
庁,Government office
広まる,spread
床,floor
店,shop
度々,Often
度忘れ,Forgetfulness
座標,Coordinate
座談会,Symposium
庶務,General affairs
庶民,Common people
廃れる,Be abolished
廃棄,waste
廃止,abolition
延いては,Extended
延べ,total
建前,Prenatal
弁償,Compensation
弁解,excuse
弁論,argument
弁護,Defense
弄る,Play with
式場,Ceremonial hall
弓,bow
引きずる,Drag
引き上げる,Pull up
引き下げる,reduce
引き分け,draw
引き取る,Take over
引き受ける,undertake
引き起こす,cause
引っ掛ける,hook
引っ掻く,scratch
弛み,slack
弛む,Loosen
弟,younger brother
弱,weak
弱まる,Weaken
弱める,Weaken
弱る,Be weak
張り紙,Poster
強いて,Strongly
強いる,Be strong
強まる,Become strong
強める,ramp up
強制,Forced
強気,strong
強烈,strong
強硬,Rigid
強行,Forcing
強請る,tease
弾く,play
弾む,Bounce
弾力,elasticity
当たり,Accompaniment
当たり前,obvious
当て,Welcome
当てはまる,apply
当てはめる,Apply
当て字,Letter
当人,Person
当選,Election
形勢,Situation
形態,form
形成,Formation
役,Role
役場,Government office
役立つ,Be useful
役職,director
彼の,his
彼処,Home
彼方,Beyond
彼方此方,Beyond this
彼此,He
征服,Conquest
待ち合わせ,Meeting
待ち望む,Look forward to
待ち遠しい,I can't wait
待望,Long -awaited
待遇,treatment
後回し,procrastinate
後悔,regret
後退,Recession
徐々,gradually
徐行,slow down
徒歩,Walk
従って,Thus
従事,Engaging
従来,Conventional
従業員,employee
得点,score
御,You
御免ください,Please do not
御免なさい,I'm sorry
御手洗い,Hand -washing
御覧なさい,Please look
御負け,Losing
復旧,restoration
復活,revival
復興,reconstruction
微か,Faint
微塵,Fine dust
微笑,smile
微量,Very small amount
徴収,Collection
徹する,Be excited about
心中,Heart
心地,feeling
心強い,Reassuring
心得,Knowledge
心情,Emotion
心掛け,Carelessness
心掛ける,aim to do
心細い,Heartfelt
必修,Required
必然,Inevitable
志,Aspirations
志す,Decide
志向,Intention
志望,Aspirations
応募,Application
応急,emergency
忠告,advice
忠実,Faithful
快い,pleasant
念,Sense
忽ち,immediately
怒り,anger
怒る,Get angry
怒鳴る,bellow
思い付き,Thoughts
思考,Thinking
怠い,Lazy
怠慢,procrastination
急かす,Hurry
怪獣,monster
怯える,Be frightened
恋する,love
恋愛,love
恐らく,perhaps
恐れ,fear
恐れ入る,Be afraid
恥,shame
恥じらう,Be shy
恥じる,Be ashamed
恰度,Apparent
恵み,Blessing
恵む,Be blessed
悉く,All
悟る,Be aware of
悩ましい,troublesome
悩ます,Worry
悩み,worries
悪,evil
悪い,bad
悪化,Worsening
悪口,Swearing
悪戯,mischief
悪日,Bad day
悪者,Bad guy
悲惨,Misery
悲観,Pessimism
悲鳴,scream
情,Feeling
情け,Compassion
情け深い,compassionate
情勢,situation
情熱,passion
情緒,Emotion
惑星,planet
惜しむ,Spoil
惨め,miserable
愈々,More and more
意向,inclination
意図,intention
意地,Intention
意欲,Motivation
意気込む,Be enthusiastic
愚か,foolish
愚痴,complaints
愛でたい,auspicious
愛想,Love
愛憎,Love and hatred
感度,sensitivity
感慨,Feeling
感染,infection
感無量,Uneasy
感触,Feeling
態々,Vigorously
態と,With the state
態勢,Attitude
慌ただしい,Frustrating
慌てる,panic
慎む,Abandon
慕う,Admire
慣らす,Get used to
慣れ,Accustomed to
慣例,Custom
慣用,Idiom
慣習,habit
慣行,Practice
憂鬱,Melancholy
憎しみ,hatred
憤慨,Resentment
憧れ,longing
懐く,Miss
懲りる,Be discouraged
懸賞,Prize
成り立つ,Be held up
成るべく,To be
成る丈,Length
成年,Adult
成果,Achievement
成熟,Maturity
