毎朝,Every morning
着る,wearll
そこ,There
終る,end
どの,Which
読む,read
それでは,So
来月,next month
果物,fruit
止まる,Stop
着く,arrive
大好き,really like
妹,younger sister
夏,summer
今晩,tonight
塩,salt
先週,last week
欲しい,want
木,wood
ほんとう,TRUE
薬,medicine
お菓子,snack
金曜日,Friday
まずい,Unpalatable
お酒,sake
多い,many
動物,animal
切符,ticket
キロ,Kilometer
キロメートル,Kilometer
呼ぶ,Call
体,body
ゆっくりと,Slowly
二日,two days
大人,adult
歯,teeth
冬,winter
所,Place
吹く,Blow
足,legs
箱,box
八,Eight
朝,morning
一昨日,day before yesterday
有名,famous
二十日,The 20th
近い,close
ください,please give me
時計,clock
午後,afternoon
食べ物,food
降る,Get down
易しい,easy
大使館,embassy
誰,Who
上,Up
五,Five
十日,10 days
どちら,Which
プール,Pool
小さい,small
今週,this week
肉,meat
零,zero
豚肉,pork
広い,wide
靴下,socks
一人,One person
かぎ,Key
向こう,Across
上手,good
牛肉,beef
話,Story
毎晩,every night
三つ,three
吸う,inhale
銀行,Bank
大切,important
学生,student
部屋,room
昼御飯,lunch
下,under
二つ,two
百,hundred
地図,map
八百屋,Greengrocer
ネクタイ,tie
去年,last year
火曜日,Tuesday
乗る,get on
弟,younger brother
あなた,you
千,thousand
緑,green
とり肉,Meat
軽い,light
あまり,not much
帽子,hat
丈夫,Durable
入れる,put in
二十歳,20 years old
三日,three days
遠い,far
夏休み,Summer vacation
友達,friend
横,beside
冷たい,cold
夜,night
トイレ,toilet
おなか,stomach
どこ,where
暇,free
鳴く,Crush
隣,next
先生,teacher
出口,Exit
後ろ,behind
先月,last month
テープ,tape
お姉さん,older sister
じゃ,well
じゃあ,Then
本,Book
泳ぐ,swim
灰皿,ashtray
門,gate
荷物,load
この,this
書く,write
毎年,Every year
明日,tomorrow
ホテル,Hotel
降りる,get off
重い,heavy
電車,train
痛い,pain
話す,talk
りっぱ,Crisp
つまらない,bored
よく,often
嫌,Disgusting
宿題,homework
死ぬ,die
みんな,everyone
万,Ten thousand
映画,movie
遅い,slow
耳,ear
かかる,Be
でも,but
四つ,four
机,desk
あっち,There
買う,buy
開く,open
教室,classroom
かばん,bag
マッチ,Match
短い,short
姉,sister
大勢,in great numbers
開ける,Open
忙しい,busy
おばあさん,Grandmother
店,shop
ワイシャツ,shirt
北,North
ラジオ,radio
すぐに,straight away
ハンカチ,handkerchief
いつ,when
全部,All
橋,bridge
川,river
河,river
バター,butter
もっと,more
入口,entrance
など,Such
太い,thick
やる,do
自動車,car
昼,noon
色,colour
黄色,yellow
左,left
野菜,vegetable
シャワー,shower
散歩,stroll
三,three
消える,disappear
映画館,movie theatre
いす,Chair
誕生日,birthday
切る,Cut off
七日,seven days
洗う,wash
あれ,that
グラム,Gram
習う,learn
後,rear
猫,Cat
図書館,library
並べる,Be arranged
しかし,but
大きい,big
八日,The 8th
歩く,walk
ズボン,pants
九日,The 9th
そっち,There
たて,vertical
カップ,cup
あの,that
頼む,ask
お兄さん,brother
手,hand
ええ,yes
毎日,every day
花,flower
一,one
居る,Be
砂糖,sugar
カレンダー,calendar
今,now
旅行,trip
できる,can
春,spring
する,do
八つ,eight
町,town
渡す,hand over
青,Blue
白,White
ある,be
ベッド,bed
水,water
いくつ,How many
楽しい,fun
御飯,rice
皆さん,everyone
おいしい,delicious
ペット,Pets
外,Outside
前,Before
来る,come
おもしろい,funny
貸す,lend
早い,quick
弱い,weak
洗濯,washing
九つ,nine
来年,next year
眼鏡,glasses
背,Back
水曜日,Wednesday
お金,money
同じ,same
弾く,play
土曜日,Saturday
階段,Stairs
煩い,You are bothering me
半分,half
背広,Suit
晴れ,sunny
見せる,show
飲み物,drink
雪,snow
買い物,shopping
交差点,intersection
駅,station
大丈夫,are you OK
ボールペン,Ballpoint pen
勉強,study
兄弟,Brother
封筒,envelope
レコード,record
コーヒー,coffee
漢字,Chinese characters
喫茶店,Coffee shop
その,the
子供,child
ちょっと,a little bit
女の子,girl
紙,paper
字引,dictionary
あさって,In a moment
嫌い,dislike
先,Precedence
答える,answer
食堂,dining
テーブル,table
コピーする,make a copy
働く,work
こんな,Such
たくさん,a lot
ドア,door
見る  観る,See
交番,police box
ナイフ,knife
辛い,hard
洋服,clothes
晩御飯,dinner
車,car
ちょうど,just
もう一度,once again
ポスト,post
服,clothes
メートル,Meter
パン,bread
半,half
若い,young
食べる,eat
四日,four days
警官,Police officer
伯父,uncle
叔父,Uncle
これ,this
アパート,Apartment
鳥,bird
ここ,here
方,direction
タクシー,taxi
では,Then
しょうゆ,soy sauce
少ない,few
白い,white
待つ,wait
次,Next
行く,go
角,corner
男,Man
ギター,guitar
聞く,listen
走る,Run
お母さん,mother
意味,meaning
物,thing
強い,strong
魚,fish
切手,stamp
暗い,dark
出る,Come out
犬,dog
女,woman
飛行機,plane
日曜日,Sunday
より、ほう,More
午前,morning
名前,name
丸い,round
円い,round
曲る,Bend
鼻,nose
お弁当,Bento
コップ,Cup
結婚,marriage
置く,put
渡る,Be overwhelmed
伯母さん,Aunt
叔母さん,aunt
それから,after that
明い,Clear
家庭,home
パーティー,party
あちら,there
スカート,skirt
靴,shoes
ボタン,button
今月,this month
返す,return
いかが,How
ストーブ,Stove
二人,Two persons
起きる,get up
さあ,here we go
あそこ,over there
古い,old
黄色い,yellow
まだ,not yet
歌う,sing
飴,candy
寝る,sleepy
それ,that
質問,question
どなた,who is it
牛乳,milk
二,two
紅茶,Black tea
そちら,there
出かける,go out
兄,older brother
留学生,international student
月曜日,Monday
締める,Tighten
熱い,hot
郵便局,post office
細い,thin
六つ,six
本棚,Bookshelf
結構,very well
こちら,Here
昨夜,last night
外国人,foreigner
絵,picture
使う,use
休む,rest
テスト,test
貼る,stick
たばこ,Cigarette
涼しい,cool
昨日,yesterday
せっけん,Soap
初め,beginning
始め,start
