Japanese,English
電柱,Telephone poles
叔母さん,aunt
梯子,ladder
速力,speed
扇ぐ,Fan
私鉄,Private railway
青白い,pale
測定,measurement
なんとも,Anyway
英和,English -Japanese
面接,interview
公正,Fairness
熟語,Idiot
地質,Geology
知合い,acquaintance
近付ける,Close
綱,Rope
呑気,carefree
コーラス,chorus
歌謡,Song
畳む,fold
点ける,Go on
濁る,Become muddy
たんす,Tanusu
公式,official
あいまい,Ambiguous
拝見,Seeing
あひら,Paddy
来日,Coming to Japan
交差,Intersection
稀,rare
追加,addition
産地,Production area
セメント,cement
しいんと,Shiin
ロビー,lobby
恨む,Grudge
初めに,at first
逃がす,Escape
すくなくとも,At least
公衆,public
そのほか,others
定期券,commuter pass
ぶらさげる,Hang
欄,Column
中旬,In the middle of the middle
地盤,ground
あてはまる,Apply
免税,duty free
くどい,Durable
ミシン,sewing machine
吹雪,Snowstorm
人差指,index finger
障子,Shoji
著す,Write
あれこれ,This
括弧,brackets
行事,Event
無地,Plain
肘,elbow
冷ます,cool
集合,set
外れる,Get out of
ワンピース,one piece
傑作,masterpiece
アイデア,idea
アイディア,idea
みっともない,Trivial
暖める,warm
テニスコート,Tennis court
下車,Get off
醜い,ugly
剥く,Peel off
インタビュー,interview
文体,Style
通ずる,Go through
やたらに,Very much
和英,Japanese -English
オートメーション,automation
弱点,Weakness
整数,integer
吊る,Hang
跳ぶ,jump
東洋,Oriental
片道,one way
溶く,Dissolve
矛盾,Contradiction
おげんきで,Take care
ぼろ,rag
競馬,Horse racing
彫刻,Sculpture
憎む,hate
線路,line
退く,Retreat
交ぜる,mix
持参,Bringing up
亡くす,lose
貸し出し,lending
続々,One after another
振り仮名,Furigana
順々,In turn
夕日,Sunset
頼もしい,reliable
注す,Note
絵の具,paints
強引,Forced
学部,Faculty
応接,Reception
勝敗,Win or loss
原始,Primitive
墨,Ink
住居,Residence
回数券,Coupon
仲良し,A good friend
高度,Advanced
引算,subtraction
高等,High
通路,aisle
焚く,burn
統一,Unification
中味,Inside taste
受話器,Receiver
姿勢,posture
塞がる,Be closed
敷地,site
造船,shipbuilding
肯定,positive
閉会,Closing
おととい,Day before yesterday
平仮名,hiragana
潰れる,Be crushed
係わる,Be involved
刺さる,Stab
意地悪,Nasty
過程,process
南米,South America
実力,real ability
先頭,head
当番,Duty
高級,High -grade
慰める,comfort
リズム,rhythm
掃く,Sweep
習字,Penmanship
寸法,size
生き生き,Lively
巻く,Roll up
下品,Vulgarity
メーター,meter
植木,Planting
方程式,equation
めまい,dizzy
改める,change
段階,step
別々,separately
擦る,rub
看板,signboard
灯台,Lighthouse
潜る,dive
一昨日,day before yesterday
並行,Parallel
俄,Sudden
秤,Weighing
只,only
補う,compensate
郡,county
再来年,Next year
王女,princess
マスク,mask
焦がす,Scorch
迫る,Approach
侵入,Invasion
生る,Be grown
どなる,bawl
都心,City center
発揮,Demonstration
一通り,in a general way
独り言,Self -spoken
卑怯,Cowardly
真っ先,First of all
副詞,adverb
針金,wire
砕ける,Be broken
催し,Event
祝日,holiday
尖る,Be sharp
無数,Countless
利害,Interests
終点,the last stop
透き通る,Be transparent
待ち合わせる,Meet
差し引き,subtraction
賞金,Prize money
乾燥,Drying
ひゃっかじてん,Hyakajiten
略す,Abbreviate
子孫,descendants
見慣れる,be familiar
満員,Full
夜行,Night line
なぐる,Razor
親指,thumb
幼稚園,kindergarten
特長,Feature
工事,construction
かしこまりました,I got it
湧く,occur
引力,Gravity
現に,Actually
垣根,Fence
苦情,Complaint
かわいがる,to adore
効力,efficacy
無限,infinite
ウエートレス,Weightless
浮ぶ,occur
御無沙汰,No longer a long time
緩い,loose
レンズ,lens
税関,Customs
踏切,Railroad crossing
順序,order
地点,point
主役,Protagonist
誓う,swear
手首,wrist
物語る,Tell a story
所々,Here and there
鉄橋,Iron bridge
先程,earlier
絶えず,constantly
蛇口,faucet
赤道,equator
突き当たる,bump into
響き,sound
治める,Control
泊める,Stay overnight
政党,Political party
嫌がる,Dislike
直前,Right before
ビルディング,building
塵芥,Dust dust
へそ,belly button
実用,Practical use
悔やむ,Regret
混ざる,Be mixed
四捨五入,Rounding
固まる,Be hardened
磁石,magnet
周辺,neighborhood
原産,Native product
こちらこそ,you're welcome
棄てる,Abandon
しっぽ,tail
バック,back
熱する,heat
問い合わせ,inquiry
炊事,cooking
冠,crown
碗,bowl
コレクション,collection
増やす,increase
ゼミ,seminar
看病,Nurse
個所,Place
作る,make
造る,make
紫,purple
ぴかぴか,Crisp
縫う,sew
紺,navy blue
長引く,Prolong
湿度,Humidity
心得る,Get to know
診る,See
箸,chopstick
ミリ,Millimeter
水素,hydrogen
髭,beard
チップ,Chip
分量,Quantity
香水,perfume
申し訳ない,I'm sorry
陽射,rays of the sun
祭日,Holiday
容積,volume
例える,compare
甚だしい,Tremendous
桁,digit
うどん,Udon
焦げる,Be scorched
命ずる,Order
送料,postage
そのため,for that reason
感激,Deep emotion
失恋,Broken heart
怪しい,suspicious
拡充,Expansion
ダブル,double
性能,Performance
真っ青,deep blue
押える,suppress
どうせ,Anyway
滑れる,Slide
合理,Reason
儀式,Ritual
歯磨き,dentifrice
苦心,Distress
ボーナス,Bonus
醤油,soy sauce
幾分,somewhat
払い戻す,Refund
おとなしい,Quiet
コンクール,Competition
妨げる,Hinder
田植え,rice planting
等分,Equal division
心当たり,Knowing
臨時,Extraordinary
おまたせしました,Thank you for waiting
ごめんください,Excuse me
向う,Face
延ばす,extend
心身,Mind and body
丼,Rice bowl
各自,Each
時速,Speed
点く,Go on
そういえば,by the way
可決,Decision
葬式,funeral
統計,statistics
親類,Relatives
瞳,pupil
田ぼ,Rattle
やむをえない,unavoidable
捜す,search
執筆,writing
遠足,Excursion
日時,Date and time
分数,Fraction
教わる,be taught
あぶる,roast
漁師,Fisherman
欧米,Europe and the United States
大学院,grad student
知人,acquaintance
縛る,Tie up
くっつく,Stick together
拝む,worship
耕地,Arable land
養分,Nutrient
昼寝,nap
なにしろ,Anyway
書道,calligraphy
会館,Hall
刺す,Pierce
温室,greenhouse
しあさって,Inexperienced
はじめまして,nice to meet you
言い付ける,tell
名物,Specialty
捕える,capture
改めて,again
かるた,Karuta
国籍,Country of Citizenship
ランチ,lunch
作者,author
省略,omit
落し物,Slogan
恐縮,Afraid
儲ける,Make money
くっつける,Stick
引受る,undertake
モーター,motor
照らす,Illuminate
悠々,Calm
自習,Self -study
刻む,Engrave
自然科学,natural Science
点数,Score
素質,Nature
女房,wife
死体,cadaver
定休日,Regular holiday
感ずる,Feel
射す,Shine
逆さ,Upside down
実習,Practice
稽古,Training
ナンバー,number
さわやか,Refreshing
国王,King
ごちそうさま,Feast
改正,Revision
大分,Oita
滝,waterfall
箒,broom
指定,specify
判子,seal
占う,Forecast
溶かす,Dissolve
又は,Or
募集,Recruitment
渇く,Be thirsty
構造,structure
煙い,smoky
湯飲み,drinking warm water
盆地,basin
ひとりでに,By myself
器械,instrument
採点,Scoring
一昨年,Two years ago
焦点,focus
探る,explore
転がる,roll over
楽器,instrument
祭る,Enshrine
争う,Compete
代名詞,Pronoun
傾く,Lean
茂る,Be
裁縫,sewing
濡らす,wet
定価,List price
取り入れる,Adopt
牧畜,Ranch
増大,Increase
杉,Cedar
短所,Disadvantage
全集,Complete collection
瓶詰,Protein
蝋燭,candle
清掃,cleaning
生年月日,date of birth
片仮名,Katakana
マラソン,marathon
西暦,AD
挟まる,Be caught in
承る,Accept
休養,rest
内科,Internal medicine
煮る,Boil
便所,Toilet
断水,Water outage
限度,limit
四つ角,Four horns
櫛,comb
スカーフ,scarf
サンプル,sample
攻める,attack
シーズン,Season
脱線,Derailment
カーブ,curve
迷信,superstition
やっぱり,on second thoughts
匂う,smell
一定,Constant
引っ繰り返す,turn over
広める,Spread
勘違い,misunderstanding
すっきり,Neat
区切る,punctuate
取り消す,cancel
コース,course
あかんぼう,Akanbo
割引,discount
交じる,Be mixed
戸棚,Cabinet
いってらっしゃい,Take care
灰色,gray
物置,Storeroom
重量,weight
灯油,kerosene
錆びる,rust
全般,General
水筒,Water bottle
おさきに,Caution
人造,Artificiality
裂く,Tear
目次,table of contents
消耗,Consumption
しびれる,Become numb
上旬,Early late
一斉,All at once
貯蔵,storage
重ねる,Repeat
解放,release
静まる,Be calm
観測,observation
述語,predicate
出合い,Dating
列島,Archipelago
血圧,blood pressure
縮れる,Shrink
ダイヤル,Dial
役所,Government office
対策,measures
就任,Appointment
石鹸,soap bar
ほどく,Deceive
因る,Be based
汁,juice
直線,Straight line
超す,Be overwhelmed
どきどき,Pounding
乱暴,Violent
退院,Discharge from the hospital
不規則,Irregularity
包帯,bandage
預かる,look after
しぼむ,Fall off
車輪,Wheel
用途,Use
唇,lips
散らかる,Be scattered
書取,Writing
人文科学,Humanities
漸く,finally
どっと,Dot
ジャーナリスト,journalist
上級,Advanced grade
上る,climb
煙突,chimney
附属,Attached
そのころ,At that time
取り出す,Take out
破れる,tear
名作,Masterpiece
栓,plug
削る,Shave
随筆,essay
かじる,Bite
出迎え,Meeting
ギャング,gang
警備,security
遭う,Be
清書,Clinical calligraphy
銘々,One by one
年度,year
余る,Survive
直角,Right angle
水蒸気,water vapor
投書,Letter
診断,diagnose
下旬,Late
せめて,at least
イコール,equal
感想,thoughts
ベテラン,veteran
気圧,Pressure
更ける,Put on
雑巾,dust cloth
欲張り,Greed
はきはき,Postscript
相違,differ
暖まる,Warm up
あわてる,Confuse
零点,Zero point
打合せ,Appointment
坊や,boy
敷く,Lay
ゴム,Rubber
うろうろ,Wandering
斬る,kill
貝,Shellfish
釜,Kettle
人通り,pedestrian traffic
物騒,dangerous
便箋,Letter paper
通訳,interpretation
トレーニング,training
接近,Approach
口紅,lipstick
コンクリート,concrete
初旬,Early early
タイア,tire
艶,gloss
あてはめる,Apply
出来上がる,Be finished
カバー,cover
餅,Mochi
修繕,repair
だいいち,number one
要旨,Summary
崩す,Break down
両側,both sides
洒落,Fashionable
司会,host
項目,item
付合う,keep company
頂点,vertex
筆記,Writing
火口,crater
庖丁,Knife
応ずる,Handle
狡い,cunning
広々,spacious
家主,landlord
校舎,School building
挿す,Insert
下町,Downtown
逸れる,Get out of
長所,Strong Points
おめでたい,Congratulations
明け方,dawn
×,×
片付く,Be cleared up
広場,Square
過失,Negligence
写る,Be shown
払い込む,Be paid
案外,unexpectedly
電波,Radio wave
部首,radical
民間,private
毛皮,fur
隔てる,Be separated
団地,Housing complex
お帰り,welcome home
蚊,mosquito
受験,Taking the exam
めでたい,I'm sorry
おまちください,please wait
卒直,Straightforward graduation
大工,carpenter
関西,Kansai
残らず,Without remaining
おまちどおさま,Omachi Dodo -sama
解答,answer
ストッキング,stockings
出勤,attendance at work
測量,Surveying
わりあいに,In the meantime
下降,Descent
気を付ける,Be careful
発売,Release
さきおととい,Saki Otoko
バケツ,bucket
縞,Stripes
派手,vulgar
区分,Classification
湿気,moisture
コック,cock
慶び,joy
姓,Surname
オーバーコート,Overcoat
近寄る,come close
助教授,Assistant professor
襖,Sliding door
膨らます,inflate
水産,Fisheries
通帳,passbook
停電,Power outage
平日,weekday
マンション,apartment
何分,For a while
早口,Fast -sized
フリー,free
点々,Dotted
直流,DC
突っ込む,Plunge into
見学,field trip
量る,measure
のこぎり,Saw
大凡,approximately
煉瓦,brick
防犯,Crime prevention
回答,Answer
過剰,excess
寿命,lifespan
不運,Unfortunate
埋める,fill in
足袋,tabi
消防署,Fire department
後輩,one's junior
材木,timber
謙遜,humility
真空,vacuum
しょうがない,can't help
超える,Exceed
間隔,interval
腰掛ける,sit
一流,top notch
見本,sample
好き好き,matter of taste
おじゃまします,excuse me for disturbing you
不潔,Dirty
紅葉,autumn leaves
区域,Area
相撲,Sumo wrestling
あわただしい,Dazzling
坊っちゃん,Monk
さっさと,quickly
通貨,currency
ピンク,pink
レジャー,leisure
溜める,Accumulate
方針,policy
モダン,modern
純情,Pure love
リポート,Report
特殊,Special
お手伝いさん,Maid
追い越す,overtake
枚数,Number of sheets
うんと,Neatly
せっせと,At all
皮肉,Sarcastic
積む,Pile up
名刺,name card
そうっと,So much
屑,waste
自衛,Self-defense
サークル,Circle
坊さん,Monk
官庁,Government office
うっかり,inadvertently
スチュワーデス,stewardess
問答,Question and answer
一応,At once
険しい,Rugged
申請,Application
家屋,House
すまない,Sorry
憧れる,Admire
揉む,Massage
こぼれる,Spoil
流行る,Become popular
以後,Later
配る,Distribute
撒く,Scatter
浮かべる,Float
あげる (=やる),Give me (= do)
インキ,ink
編む,Knit
銅,copper
超過,Excess
調節,Adjustment
地帯,Zone
朗らか,Grief
有無,presence or absence
ガム,Gum
プログラム,program
但し,however
おやつ,snack
絞る,squeeze
遊園地,amusement park
キャンパス,campus
裏口,Back door
あきれる,Be overwhelmed
へる,decrease
幼児,infant
目覚し,Alarm
方角,direction
信ずる,believe
小便,Piss
加速度,acceleration
登場,Appearance
近々,soon
とっくに,A long time ago
彫る,carve
盆,Bon Festival
目立つ,stand out
煎る,roast
形式,format
麓,Foot
原料,material
名字,Surname
狙う,Aim
雑音,noise
特定,identification
映る,Be reflected
勝負,Competition
モデル,model
縮小,Reduction
皮膚,Skin
将棋,Shogi
送り仮名,Sending kana
物凄い,Tremendous
スクール,School
巡る,Go around
育児,Childcare
それなのに,Yet
盛る,Enshrine
満点,Perfect score
顕微鏡,microscope
手洗い,Hand washing
爪,nail
円周,Circular circumference
薬指,ring finger
酸性,Acidic
ふわふわ,fluffy
体制,System
再来月,month after next
単数,Singular
追い掛ける,Chase
いっていらっしゃい,Welcome
通り掛かる,Go through
正方形,square
輸血,transfusion
だます,fool
空っぽ,empty
先々月,Month before
始めに,At the beginning
膨らむ,Swell
ねじ,screw
小数,Decimal
整う,Be prepared
開通,Opening
引出す,Withdraw
展開,Development
長方形,Rectangular
馴れる,Be familiar with
有難い,Grateful
工芸,Crafts
割算,division
ごくろうさま,Gokuro -sama
下線,Underlined
領事,Consul
基礎,Foundation
中指,middle finger
コンセント,Outlet
商業,Commerce
照る,Shine
ヘリコプター,helicopter
真っ白,pure white
資料,Document
関東,Kanto
専制,Tactics
仮名遣い,Pseudonym
驚かす,surprise
なんとなく,Somehow
囁く,whisper
蒸発,evaporation
羽根,Feathers
澄む,clear
冷やす,cool
身分,Status
いちいち,One by one
本来,Originally
嗅ぐ,smell
宛名,address
交替,Change
出迎える,Greet
形容詞,adjective
賞品,prize
ずらす,Shift
薬缶,kettle
抽象,abstract
虹,rainbow
塩辛い,Spicy
手帳,pocket book
作製,Making
風船,balloon
課程,Course
日の入り,sunset
見送る,See off
例外,exception
却って,rather
休息,rest
温泉,hot spring
斜め,diagonal
引っ繰り返る,Pull over
各々,Each
涼む,Cool down
外部,external
金魚,Goldfish
御免,Exemption
各地,Everywhere
ぴたり,Perfect
農村,rural
生ずる,Occur
すっぱい,Sour
破片,Debris
瓦,tile
接続,connection
保健,Health
清む,Clean
表紙,cover
活躍,action
防止,Prevention
流石,As expected
恋しい,Lovely
主語,subject
座敷,Parlor
火傷,burn
童話,Fairy tale
通勤,go to work
引っ込む,Withdraw
謎謎,riddle
総理大臣,Prime minister
倣う,follow
ぶつぶつ,Bumpy
転々,Relatively
算盤,abacus
学科,Department
下駄,geta
成立,Establishment
地味,sober
花火,firework
月給,Monthly salary
接する,Be in contact with
基地,base
写生,Growing
拡張,Expansion
マイナス,minus
見掛け,Appearance
含める,include
番地,address
酔っ払い,Drunk
出入口,Exit
ショップ,shop
受け持つ,Be accepted
直径,diameter
中身,inside
売上,Earnings
おかけください,Please call me
締め切る,Close
堀,moat
濃度,concentration
流域,Basin
複数,multiple
確率,probability
南極,Antarctic
散らす,Scatter
役人,Official
実例,Illustration
果して,In full
力強い,Powerful
真似る,mimic
火山,Volcano
蒸気,vapor
恨み,Grudge
半径,radius
回り道,detour
峠,Pass
ええと,you know
平野,Plane
捩る,Twist
元々,originally
フライパン,Frying pan
散らかす,Scatter
重たい,heavy
予備,spare
社会科学,Social science
在る,exist
シリーズ,series
相互,Mutual
呼び出す,call
かゆい,itch
ストップ,stop
強化,Enhancement
職人,Craftsman
シーツ,Sheets
激増,Drastic increase
役目,Role
砕く,Crush
伯父さん,Uncle
言い出す,break the ice
上り,Upright
纏まる,Put together
明き,Clearing
竹,bamboo
凍える,Be frozen
能率,efficiency
ダイヤグラム,diagram
住まい,Home
放る,Leave
作成,create
売買,Buying and selling
公務,Public affairs
ハンドル,handle
連合,Coalition
もたれる,Be overwhelmed
みじめ,Mischievous
椀,Bowl of a bowl
一旦,Once
刺身,sashimi
外科,Surgery
着ける,wear
引き止める,Hold down
蒔く,Sow
気体,gas
行列,queue
古典,classic
重体,Seriousness
仮名,Pseudonym
請う,Request
為す,Do
伝記,biography
好き嫌い,Likes and dislikes
部品,parts
這う,Crawl
伯母さん,Aunt
実物,Actual item
遡る,go back
引っ掛かる,Get stuck
寝間着,Nightwear
張り切る,be enthusiastic
床屋,barber
散る,Be scattered
針路,course
青少年,youth
公共,public
宣伝,Promotion
生け花,flower arrangement
飢饉,famine
リットル,liter
蒸す,Steam
溜息,sigh
推定,Estimation
あくび,Yawn
厚かましい,impudent
体操,Gymnastics
胡椒,pepper
エプロン,apron
割と,Relatively
あたりまえ,obviously
アクセント,accent
消毒,Disinfection
ばね,Sole
冷凍,frozen
国立,National national
本部,Headquarters
揃う,Be aligned
別荘,Villa
中間,Middle
出掛ける,go out
酒場,Bar
こないだ,I don't come
海水浴,Sea bathing
電力,Electricity
通用,Appointment
父母,Parent
レベル,level
マフラー,Scarf
功績,Achievement
釣り合う,balance
四角,square
目印,Landmark
粗い,rough
さようなら,good bye
座布団,Japanese cushion
羨む,envy
夜間,Night
応用,application
ぶつける,Hit
めちゃくちゃ,Extremely
調整,Adjustment
標準,standard
創作,Creation
開放,Open
日当たり,Sunrise
公表,Publication
寝巻,Sleeping
夕立,Shower
井戸,well
研修,training
削除,delete
浴衣,yukata
生える,Grow
恩恵,benefit
消化,digestion
分る,Shown
バイバイ,bye bye
群れ,Flock
薬局,pharmacy
羊毛,wool
在学,Enrollment
血液,blood
御覧,Seeing
繋がる,Be connected
白髪,Gray hair
要領,Point of view
発電,Power generation
氏名,family name
おやすみ,good night
凸凹,Unevenness
幼稚,Childish
正面,front
こらえる,Hold down
からかう,Rustle
月日,time
載せる,Put on
気配,Sign
甘やかす,pamper
羨ましい,envy
天皇,Emperor
県庁,Prefectural office
初級,Beginner
課税,Taxation
ちぎる,Tear off
おはよう,good morning
Ͼ立,Standing up
風呂敷,Furoshiki
儲かる,make a profit
起床,Waking up
飢える,Be hungry
冷める,Cool down
移転,transfer
厳重,Strict
帰す,Return
増減,Increase and decrease
測る,measure
しつこい,Insistent
街角,Street corner
くだらない,Silly
引分け,Draw
兵隊,Soldier
吐き気,nausea
集金,Collection of money
塞ぐ,Close
分かれる,Be separated
隙間,gap
掻く,Scratch
見付かる,Be found
そそっかしい,Sloppy
漁業,Fishery
素直,honest
領収,receipt
回転,rotate
じゅうたん,Carpet
一休み,Rest
敬う,respect
騒がしい,noisy
先祖,ancestor
引越し,moving
地名,Place name
電球,light bulb
破く,Break
いきなり,Suddenly
務める,serve
くたびれる,Get tired
退ける,refuse
船便,Ship's flight
見舞う,Show
やかましい,Dull
継続,continuation
属する,Belong to
重力,gravity
早速,right away
ビニール,vinyl
脂,Fatty
児童,Child
応援,support
空中,air
屋外,Outdoors
中途,Halfway
深夜,Midnight
見下ろす,Look down on
にこにこ,Niko Niko
糊,paste
お出掛け,Going out
透明,Transparent
合同,Joint
くるむ,Wound
憎い,hateful
発射,firing
分解,Disassembly
観念,Ideas
こうして,thus
素人,amateur
全身,Whole body
肌着,underwear
おだいじに,take care
角度,angle
炊く,cook
メニュー,menu
詫びる,apologize
適確,Accuracy
おおざっぱ,Ozappa
リボン,ribbon
懐かしい,nostalgic
図形,Figure
芸能,Entertainment
長男,Eldest son
安易,Easy
膨大,Swelling
溶ける,melt
娯楽,Entertainment
伝染,Transmission
存ずる,Hold
足る,Be enough
茶碗,Bowl
複写,copy
兼ねる,Be as good as
オルガン,organ
担ぐ,Carry in
見付ける,Be found
まぶた,eyelid
油断,Carelessness
惜しい,Regrettable
編集,edit
高層,High -rise
寒帯,Cold belt
反映,Reflection
工員,Worker
燃やす,burn
跳ねる,Jump
手拭い,Wiping
ランニング,running
溜まる,Accumulate
規準,Standard
ずうずうしい,Dull
日課,Daily routine
繋がり,Connection
衣食住,Clothing and shelter
寝台,bed
水曜,Wednesday
原理,principle
揃える,Be aligned
くしゃみ,sneeze
テーマ,theme
窓口,window
符号,Sign
またぐ,Cross
まあまあ,OK
体積,volume
片寄る,Be sideways
輸送,shipping
受取,Receipt
出来上がり,Finished
捻る,twist
回数,Number of times
おくさん,Okusan
経度,longitude
定規,ruler
オイル,oil
鐘,bell
下水,sewage
売り切れる,Be sold out
挙げる,Give up
ついで,By the way
緯度,latitude
曲げる,bend
月末,End of the month
期限,Deadline
撫でる,Stroke
蛍光灯,Fluorescent light
狙い,the aim
偶数,Even number
園芸,Gardening
体系,system
上下,Up and down
だらしない,Sloppy
めっきり,really
重点,Emphasis
映す,Reflect
交流,Alternating current
電流,Current
重役,Heavy role
日用品,Daily necessities
手前,Forced
寺院,Temple
酢,vinegar
災難,Disaster
活字,Print
放れる,Be released
潰す,Crush
面倒臭い,Cumbersome
友好,Friendship
はめる,Put in
教養,Culture
夫妻,Couple
停止,Stop
高める,Enhance
当日,On the day
献立,menu
客席,Audience
すれちがう,Pass
偉い,great
包装,Packaging
重なる,Overlap
形容動詞,Adjective verb
録音,recording
出入り,Entering and leaving
方言,dialect
空想,Fantasy
店屋,Store
まぶしい,bright
一段と,More
末っ子,Youngest child
ダム,dam
建つ,stand
口実,excuse
話合い,discussion
噴水,fountain
振舞う,behave
枕,pillow
漢和,Chinese peace
法則,law
ウーマン,Woman
工夫,Device
カロリー,calorie
倉庫,Warehouse
仲直り,Reconciliation
缶詰,canning
おかげさまで,Thanks to you
パンツ,pants
瀬戸物,crockery
解説,Explanation
よこす,Woven
編物,knitting
縮める,Shrink
レインコート,Raincoat
公害,Pollution
若々しい,Youthful
御手洗,Brush
実感,Feeling
いってまいります,I will come
前後,Back and forth
代える,Replace
無沙汰,Silence
寄せる,Send
純粋,pure
咥える,Suck
エチケット,etiquette
標識,Sign
消極的,Passive
落第,Drop
活力,vitality
短編,Short story
間接,Indirect
原稿,Manuscript
次ぐ,Next
用語,the term
立ち止まる,stop
飛び込む,jump in
努める,Make an effort
まごまご,Magomago
ネックレス,necklace
ずうっと,always
商社,trading company
神話,mythology
過半数,majority
牧場,Ranch
ブラウス,blouse
名詞,noun
スケジュール,schedule
平凡,Mediocre
草履,Sandals
往復,round trip
剃刀,razor
開会,Opening
損得,Loss
荒い,rough
広げる,spread
至急,urgent
始終,All
具える,Gain
あらすじ,Synopsis
光線,Rays
円い,round
貸間,Lending room
容器,container
恵まれる,Be blessed
鑑賞,Appreciation
四角い,square
剥す,Peel off
郵送,Mailing
分類,Classification
炭鉱,Coal mine
書店,Bookstore
捕る,take
直通,Directly
集会,Rally
乾かす,dry
混じる,Be mixed
系統,system
組み立てる,assemble
差し支え,Gain
改札,Ticket gate
仕上がる,Be finished
入社,Joining a company
突く,poke
あちらこちら,Here and there
物差し,Margin
じゃんけん,Rock -paper -scissors
生存,Survival
敬語,Honorific
乗車,Boarding
カラー,Color
液体,liquid
孝行,Filial piety
薬品,Chemical
車庫,Garage
鉢,Pot
演劇,theater
治す,cure
こぼす,Spill
拭く,wipe
噴火,eruption
毎度,Every time
着せる,Put on
地下水,Groundwater
薄暗い,dim
循環,Circulation
扇風機,Fan
クーラー,cooler
つまずく,Stumble
スピーカー,speaker
標本,Specimen
北極,North Pole
ダイヤモンド,diamond
伝わる,Be transmitted
暴れる,Be rampant
通知,notification
茶色い,Brown
もしかしたら,Maybe
ぎっしり,Tightly
ぺん,Pan
長短,Long
文房具,stationary
延長,Extension
凹む,Be dented
方面,Direction
汲む,Pump
目指す,aim
お参り,Visit
カセット,cassette
五十音,Tactile
延びる,Extend
分布,distribution
存じる,know
代る,replace
望遠鏡,telescope
プラットホーム,platform
ぶつかる,Collide
クリーニング,cleaning
特色,Characteristic
締切,deadline
図鑑,Picture book
固い,Stiff
見直す,Review
索引,index
揚げる,Fry
学力,Academic ability
鈴,bell
挟む,Hold in
食塩,Salt
言付ける,Say
何々,what
筆者,Author
応対,Response
打ち消す,Cancel
万歳,Banzai
あふれる,Be overflowing
歯車,gear
剃る,shave
御馳走,feast
悔しい,regrettable
乗換,transfer
余所,Residue
換気,ventilation
交通機関,Transportation facilities
小遣い,Pocket money
匙,spoon
吊す,hang
深まる,Deepen
スマート,smart
話中,While talking
ローマじ,Roman
逆様,Reverse
夕刊,Evening edition
ナイロン,Nylon
売店,store
見出し,Founder
御辞儀,Bowing
下る,Go down
湯気,steam
直後,Immediately after
為替,money order
センチ,centimeter
のろのろ,Sluggish
斜,Slope
食器,Tableware
留まる,stay
頭脳,brain
文脈,context
蓋,lid
低下,Decline
待合室,waiting room
こしらえる,Grind
給与,Salary
日の出,sunrise
殖やす,increase
境界,boundary
プラスチック,plastic
崩れる,Collapse
送別,farewell
