Japanese,English
詩人,poets
機械,machine
限界,limit
縄,rope
金融,Finance
明かり,Light
少しも,A little
終える,End
頃,Time
冗談,joke
正式,Official
式,formula
濠,Moat
激しい,intense
損,loss
文字,letter
禁止,Ban
きちんと,Neatly
茶,tea
幸運,Good luck
振る,shake
昨,last
注ぐ,pour it up
会計,total
根,root
温暖,Warmth
計,Meter
確実,certainty
胸,chest
記憶,Memory
建築,Architecture
煙,smoke
あるいは,or
いつでも,anytime
知らせ,News
いつまでも,forever and ever
掲示,Posting
刺激,Stimulation
診察,consultation
機関,institution
戻す,return
石油,oil
駄目,Useless
食欲,appetite
抱える,Hold
破産,bankruptcy
印刷,printing
対する,Make
名,given name
見当,Myanda
すると,Then
言わば,In a nutshell
分ける,Divide
象,elephant
陽気,Cheerful
許す,forgive
人種,Race
縁,edge
黙る,Be silent
相手,partner
決心,Resolution
愛情,love
幸福,happiness
やがて,Eventually
量,amount
豪華,Gorgeous
有利,advantageous
引用,Quote
チーズ,cheese
桜,cherry blossoms
人込み,Man -in -law
仲,Friendship
論文,paper
約,about
防ぐ,prevent
美人,Beautiful
ミス,Mistake
予報,forecast
毛布,blanket
賛成,agreement
発見,discover
素晴らしい,wonderful
輪,ring
見舞い,Visit
巨大,Huge
苦しい,baffling
物価,cost of living
語る,talk
沈む,Sink
中学,Junior high school
盛り,portion
実際,actual
模様,pattern
税,Tax
触れる,touch
直ちに,right away
断る,turn down
何,what
経つ,Pass
張る,Be grateful
土曜,Saturday
服装,Clothes
塵,dust
河,river
議会,Parliament
できる,can
発表,announcement
勤め,Serving
影響,Impact
実行,execution
素,Raw
髪の毛,hair
およそ,about
宿,inn
ずっと,all the time
撃つ,shoot
食物,food
期待,Expectation
健康,health
インク,ink
脇,side
務め,Duties
真似,Imitation
銃,gun
心理,Psychology
代金,price
何で,why
札,Bill
うん,yes
座席,seat
傷,scratch
重視,Emphasis
よい,good
販売,sale
プラス,plus
差,difference
恋,love
筆,Brush
課,Section
ボーイ,Boy
最も,most
態度,attitude
偉大,Greatness
雇う,hire
岸,shore
途端,Immediately
覚悟,Preparedness
出発,departure
誘う,Invite
紐,string
泡,foam
丸,Circle
加わる,Join
実現,realization
日光,sunlight
信仰,faith
印象,impression
眺め,View
まるで,as if
生まれ,birth
極,very
単なる,mere
筋,logic
種類,kinds
打つ,strike
しまい,Sisters
球,ball
石炭,coal
今回,this time
しまった,Oops
不正,Fraud
全然,at all
切れ,Cut -out
こんなに,so
可,Possible
改善,Improvement
野,field
ドラマ,Drama
捕まる,get caught
等,etc
通じる,Communicate
似合う,Succeed
松,Pine
噂,rumor
鍋,pot
お目に掛かる,Look at
克服,Overcoming
意識,Consciousness
善,good
熱中,Enthusiasm
劣る,Be inferior
男子,Male
恐怖,Fear
そこで,Therefore
いらっしゃい,welcome
終,End
主義,Principle
叩く,Hit
準備,Preparation
軍,army
苦労,Hardship
高価,expensive
逆,reverse
旗,flag
不,Unprecedented
仏,Buddha
側,~ side
運動,motion
先ず,First
面,surface
見る,look
トップ,Top
出来るだけ,As much as possible
船,ship
中心,center
鬼,demon
原,original
見解,View
監督,directed by
得る,obtain
達する,Accomplish
本人,Person
品,Item
故郷,hometown
困難,Difficulty
調査,investigation
我々,we
疲れ,Fatigue
しゃべる,Chatter
注,note
委員,Committee member
輸入,Import
現代,present day
金額,Amount of money
祝う,celebrate
願う,Wish
転ぶ,Fall
友人,friend
履く,wear
作品,the work
絶滅,extinction
表情,Expression
言語,language
回,times
がっかり,Disappointed
綿,cotton
大臣,Minister
引退,Retirement
女子,Girl
褒める,praise
訓,Lesson
少女,Girl
奪う,Take away
一層,More
期間,period
ロケット,rocket
掃除,cleaning
確認,confirmation
向かい,opposite
外す,remove
問い,question
伸ばす,extend
優れる,Be excellent
機嫌,mood
予期,Forecast
持ち上げる,lift
犯人,culprit
資源,resource
乗せる,Put on
ベルト,belt
過ごす,spend
対,versus
後者,the latter
姿,figure
支出,Spending
読書,reading
霜,frost
異なる,different
例,example
金,Money
通信,communication
訓練,Training
近頃,recently
プラン,plan
登山,Mountain climbing
さっぱり,Fresh
タオル,towel
国家,Nation
作家,Writer
勿論,Of course
独身,single
ですから,So
休憩,rest
ホーム,home
成人,adult
作業,work
投票,vote
会,Meeting
世間,World
末,End
輝く,Shine
活気,Lively
金庫,safe
世話,care
旅,Journey
制限,limit
昇る,Rise
王様,King
未だ,still
記事,article
混乱,confusion
給料,salary
男の人,Man
練習,training
アイスクリーム,ice cream
一方,on the other hand
修理,repair
地,Land
クリスマス,Christmas
では,Then
表す,show
ドライブ,drive
好む,prefer
助ける,help
感情,Emotion
溺れる,Drown
抱く,Hold
おまえ,You
知識,knowledge
組合,Union
首都,capital
党,party
講演,Lecture
直接,Direct
吐く,Vomit
雷,Thunder
恩,Favor
位置,position
余裕,room
覆う,cover
率,rate
消費,consumption
精神,spirit
いたずら,mischief
吠える,bark
それとも,Or
手伝い,help
今後,from now on
大気,atmosphere
全,all
下り,Descent
柄,Pattern
収穫,harvest
反抗,Rebellion
参考,reference
あっ,Ah
含む,include
食糧,Food
範囲,range
大,Big
止す,Stop
妙,Unusual
センター,Center
密,Dense
いつも,everytime
羽,wing
及ぼす,Hold
減らす,reduce
親しい,close
笑顔,smile
知能,Intelligence
辞める,Quit
協力,cooperation
キャンプ,camp
章,chapter
ビデオ,video
集団,Group
明後日,day after tomorrow
一言,Word
虫歯,decay
解決,Solution
猿,monkey
塔,Tower
描く,draw
そこ,There
お腹,stomach
不可,Unavoidable
議長,Chairman
放送,broadcast
支度,Preparation
作法,Manners
双子,twins
ジーンズ,jeans
熱心,Eagerness
稼ぐ,Make money
景気,Economy
多少,Somewhat
失う,lose
氷,ice
生物,Creature
死亡,death
レポート,Report
贈る,give
商品,merchandise
したがって,therefore
なにも,nothing
傾向,tendency
計算,Calculation
土産,gift
内容,Content
虎,tiger
通り,street
大変,hard
月,Month
悪魔,devil
それでも,nevertheless
鉄道,Railway
もしも,If
ちゃんと,Properly
日,Day
貢献,contribution
吸収,absorption
騒音,noise
伝統,tradition
化粧,make up
よろしく,nice to meet you
何でも,anything
割る,divide
ますます,more and more
本物,Real thing
始まり,Beginning
増加,gain
事務,Administrative office
菓子,Confectionery
今にも,Even now
老人,Old man
運転,drive
非常,Informal
丸い,round
掛かる,Be applied
他,other
表面,surface
自動,Automatic
谷,valley
汗,Sweat
スタンド,stand
報告,report
目標,the goal
繋ぐ,connect
楽,easy
コピー,copy
飛び出す,Pop out
うまい,good
手術,Surgery
有る,Have
世の中,world
故障,malfunction
急速,rapid
読み,reading
絵画,Painting
波,wave
損害,damage
かわいらしい,Lovely
快適,comfortable
単位,unit
決まり,Decision
所為,For a while
穀物,grain
常識,common sense
指導,Guidance
語,word
中,During ~
間違い,error
望む,Want
利益,Profit
どんなに,no matter
腰,Hip
訴える,bring the action
又,or
食う,Eat
ユーモア,humor
そっくり,Exactly like
発行,issue
成功,success
現状,current situation
従兄弟,Cousin
ぐっすり,Sullen
ブレーキ,break
だけど,However
勉強,study
人間,human
腐る,Rot
女優,actress
キャプテン,captain
パイプ,pipe
天然,Natural
七,Seven
警告,caveat
信じる,believe
連続,continue
とん,Ton
現実,reality
農業,Agriculture
現金,cash
変更,change
流行,trend
図書,Book
経営,management
代表,representative
明ける,Dawn
散歩,stroll
深刻,serious
眺める,Look at
親戚,Relatives
国会,Parliament
帯,band
誕生,birth
参加,Participation
加える,Add
学ぶ,learn
まさか,No way
追い付く,catch up
当たる,Hit
夜明け,breaking dawn
関連,connection
順番,order
叱る,Scold
穏やか,Calm
弾,Bullet
宗教,religion
完成,Complete
お互い,each other
等しい,equal
芝生,grass
程度,degree
以来,Since
あした,tomorrow
支店,branch
尊重,respect
段,Steps
政府,government
配達,delivery
強盗,robbery
駐車,Parking
梅,plum
否,no
アウト,out
厄介,Trouble
咳,cough
者,person
方々,Persons
国語,national language
能力,ability
都,Capital
支配,Rule
材料,material
覚める,wake
なかなか,Quite
名人,Master
空,Sky
僅か,subtle
賢い,wise
画家,painter
掴む,grab
皆,all
影,Shadow
ばったり,Sacrifice
ありがとう,thank you
感動,Impressive
現在,the current
屋根,roof
譲る,Give over
天候,weather
自慢,Pride
失業,unemployment
大戦,War
守る,protect
価値,worth
集まり,gathering
これら,these
すごい,very
大使,Ambassador
分析,analysis
先日,the other day
悲劇,tragedy
現れる,appear
アルバム,album
友情,friendship
泥,mud
刀,sword
話題,topic
通過,Passing
滅多に,Rarely
度,Every time
希望,Hope
様子,state
越す,Exceed
チャンス,chance
交際,Dating
申し込む,apply
程,Moderate
救助,rescue
新た,new
列車,train
一種,One species
考え,idea
商売,business
欠席,absence
絶対,absolutely
農家,Farmer
幾つ,how many
信号,signal
付ける,wear
そして,and
ぼんやり,Blurred
スキー,Skiing
辛い,hard
生命,life
構う,Be careless
交換,exchange
知事,Governor
やはり,also
進める,Proceed
爆発,explosion
かわいそう,Poor
横切る,Cross
害,harm
自殺,suicide
トラック,truck
承知,know
宇宙,universe
適切,appropriate
ダイヤ,Diamond
管理,management
豊か,rich
競技,Competition
設計,design
汚染,pollution
調子,condition
かなり,rather
海外,abroad
安定,Stability
それ,that
きつい,tight
記者,Reporter
負け,Losing
流れ,flow
評価,evaluation
憲法,Constitution
劇場,theater
働き,Manner
停留所,Stop
骨,Bone
おめでとう,congratulation
空く,Be empty
メンバー,member
癖,habit
詩,Poetry
感じる,feel
上,Up
いずれ,Either
保存,keep
あちこち,Here and there
適度,Moderate
横断,Crossing
いけない,should not
布,cloth
夕べ,evening
専攻,Major
答案,Answer
寄付,Donation
円,yen
罹る,Be affected
パイロット,pilot
係,Clerk
偶,Even
コーチ,coach
検査,test
位,Position
従う,follow
維持,Maintaining
陰,shadow
節約,Savings
光景,Scenery
他人,others
祝い,Celebration
主婦,housewife
思わず,Inadvertently
移す,Move
団体,Group
日常,Everyday
基本,Basics
敵,enemy
しまう,Be
こんにちは,Hello
つまり,in short
ゴール,goal
製品,product
案内,guidance
電子,Electron
それぞれ,Each
拡大,expansion
とにかく,anyway
一致,match
どこか,somewhere
ノック,knock
鉄,iron
税金,tax
四,four
強力,Powerful
現象,phenomenon
罰する,to punish
主張,Claim
音,sound
轢く,Run over
小屋,Hut
個人,Individual
苦手,weak point
通行,Passage
宝,Treasure
与える,give
知恵,wisdom
宝石,jewelry 
婚約,engagement
嬉しい,happy
城,castle
はあ,Ha
年寄,Old man
マーケット,market
外交,Diplomacy
観客,audience
衛星,satellite
取り上げる,take up
義務,Duty
至る,Get
候補,candidate
バッグ,bag
水準,level
平ら,Flat
作物,produce
支払う,pay
飯,food
型,Mold
収入,income
広告,advertisement
おじいさん,old man
帰宅,Returning home
暮れ,Dawn
禁煙,no smoking
宜しい,Good
替える,Substitute
寧ろ,rather
ビール,Beer 
疑問,Question
供給,supply
スタイル,style
議員,Parliamentarians
スイッチ,switch
認める,admit
最低,Lowest
でも,but
科目,Subject
ほぼ,Almost
ただ,just
長期,Long -term
空き,openings
限る,Limit
芝居,play
土地,land
塀,wall
離婚,divorce
共同,Joint
住民,residents
街,Town
感覚,feelings
居眠り,Falling asleep
緊張,tension
物音,Noise
変化,change
節,section
検討,examination
合わせる,match
別に,Separately
財産,property
飛ばす,Skip
炎,flame
発展,development
越える,Cross over
不安,anxiety
抜ける,Get out
下さる,Let go
減る,decrease
粉,powder
ごめんなさい,sorry
ピン,pin
必ずしも,necessarily
左右,Left and right
速度,speed
印,mark
移動,Migration
友,friend
命,life
ふと,Suddenly
黒板,blackboard
著者,author
審判,Referee
休暇,holiday
増す,Increase
共に,both
少々,a little
番,Rank
苦痛,pain
免許,driver licence
受け取る,receive
収める,Put in
依頼,request
完了,completion
鼠,mouse
上達,Improvement
考慮,Consideration
酔う,Be drunk
その,the
あいにく,Unfortunately
近代,Modern times
許可,permission
解ける,Be unraveled
活用,exercise
実,fruit
睡眠,sleep
労働,Labor
巣,nest
トランプ,Playing card
マスター,Master
直に,directly
出席,Attending
匂い,odor
離す,Leave
大半,Mostly
単語,word
一度に,All at once
わざと,Intentionally
余分,extra
地方,Region
呼吸,Breathing
高速,high speed
礼,Gratitude
まあ,oh dear
普段,normally
格好,form
永遠,Eternity
頂上,the top
握手,Handshake
今に,Now
女王,Queen
下す,Set
夜,night
コンピューター,computer
背,Back
平等,equality
感謝,Gratitude
部分,part
性格,Personality
劇,Play
被害,damage
瞬間,moment
ミルク,milk
哲学,philosophy
かもしれない,May
訪問,visit
会合,Meeting
おそらく,probably
針,needle
招待,invitation
数字,Number
数,number
元,Origin
行儀,Behavior
署名,signature
微笑む,smile
中止,cancel
向く,Be faced
幼い,Young
沖,Offshore
観察,observation
バイオリン,violin
最中,In the middle
成長,growth
集中,concentration
切れる,Be cut off
企業,Company
すなわち,"That is,"
明確,Clear
機能,function
句,clause
十,Ten
様,looks
確かめる,confirm
請求,Claim
笛,Whistle
けち,Leisurely
しばしば,often
道徳,moral
権利,right
話し合う,discuss
発達,development
症状,Symptoms
金属,metal
同様,Same
残す,leave
詰める,pack
製造,Manufacturing
破る,Break
正直,honest
論争,Controversy
灯,light
不自由,Inconvenience
地位,Status
毒,poison
提出,Submission
当てる,Apply
ハイキング,hiking
外,Outside
隠す,hide
氏,Mr.
鋭い,sharp
学,Learning
構成,composition
欠陥,defect
分,Part
努力,effort
食事,meal
使用,use
宿泊,stay
勘定,Account
サイン,sign
分野,Field
好み,Preference
整理,Organizing
酒,Liquor
広がる,spread
学問,Learning
曇,Cloudiness
無駄,waste
大陸,Continent
灰,Ash
真面目,serious
大いに,Very much
鎖,chain
真っ直ぐ,straight
身,Body
不思議,wonder
国民,Citizen
勘,Intuition
計る,scale
テント,tent
主要,Main
典型,Typical
袋,bag
はい,yes
秘密,secret
苦しむ,suffer
物事,things
要求,request
同時,simultaneous
時刻,Times of Day
悩む,to worry
食料,food
疑う,doubt
大会,Conference
ところが,However
理想,ideal
意志,will
罪,sin
要素,element
現す,Indicate
奨学金,scholarship
時期,season
愉快,Pleasure
回復,recovery
慎重,Awareness
信用,credit
出身,where one is from
救う,save
金曜,Friday
贅沢,luxury
急に,suddenly
入学,admission
袖,sleeve
皿,plate
貴重,valuable
判断,Judgment
成績,Result
神,God
実に,Indeed
埃,dust
奇妙,strange
嵐,storm
能,Ability
到着,arrival
既に,already
異常,Abnormality
畑,field
都市,City
無,Nothing
提案,suggestion
延期,Postponement
互い,Each other
設備,Facility
解釈,interpretation
外出,Go out
よると,According to
大部分,Majority
際,edge
予測,predict
人物,person
湾,bay
週間,week
多分,perhaps
徐々に,gradually
謎,Mystery
親友,Close friend
支給,provision
住宅,Residence
図,figure
見送り,Send-off
上京,In the upper part of Tokyo
さて,Now
たとえ,example
ぴったり,Exactly
商人,merchant
魅力,charm
退屈,boring
否定,denial
父親,father
命令,order
理解,Understanding
どんな,what kind
独立,Independence
痛み,pain
一生,lifetime
予防,prevention
会員,Member
器用,Dexterous
満ちる,be full
職,Job
差別,discrimination
行き,Going out
証明,Proof
にっこり,Smiling
体育,physical education
失望,Disappointment
貯金,saving
気に入る,Love
小,small
暗記,Memorization
夫人,Mrs.
共通,common
新鮮,fresh
別れ,farewell
思想,Philosophy
或,Some
婦人,Woman
マイク,microphone
博士,Doctor
はさみ,Scissors
案,Proposal
舌,tongue
人生,life
たっぷり,plenty
中古,second hand
条件,conditions
役割,role
びっくり,Surprisingly
油,oil
メモ,Memo
不利,Unfavorable
訳,reason
いい,good
偶然,Accidentally
芽,Bud
不足,Shortage
グラス,glass
戦う,fight
方向,direction
強調,Emphasis
自然,Nature
ジュース,juice
記録,record
操作,operation
莫大,enormous
重大,Serious
株,KK
無事,Safely
違反,violation
列,Row
ベンチ,bench
事,case
残り,remaining
年月,Year
怪我,injury
議論,Discussion
事態,situation
缶,can
粗末,Poor
組む,Assemble
倒す,knock down
進学,Proceeding to school
加減,Degree
前者,former
主に,mainly
就職,find work
覚ます,Be aware
すみません,excuse me
状態,situation
秒,Second
翼,Wing
殺す,kill
馬鹿,fool
裸,naked
あんなに,So
県,prefecture
続き,continuation
題,Title
一体,Integral
賞,award
ヨット,Yacht
最終,Final
ウイスキー,whisky
誰か,who
借金,debt
胃,stomach
積極的,active
装置,Device
違いない,Must
州,state
肩,shoulder
そっと,Gently
為る,Do
公平,fair
温度,temperature
稲,Rice
挨拶,greeting
効果,effect
瓶,bottle
留学,Studying abroad
命じる,Order
頂く,receive
同僚,colleague
連想,Association
攻撃,attack
是非,I'd love to
上等,Superior
届く,reach
事件,Case
そのまま,As it is
要点,Key point
得意,good at
王子,prince
凍る,Be frozen
単純,Simple
衝突,collision
勇気,courage
詳しい,be familiar with
スピーチ,speech
相続,inheritance
選手,player
育つ,growing up
年間,Year
しきりに,frequently
言う,To tell
冷静,calm
組織,Organization
起こる,break out
犯罪,crime
嫌う,hate
決定,Decision
放す,Leave
どう,copper
扱う,deal
遅刻,behind time
省く,Omit
試す,try
霧,fog
ペンキ,paint
手段,means
粗,Rough
化学,Chemistry
作曲,Composition
貰う,Get
現場,Site
営業,sales
太陽,Sun
一瞬,for a moment
地域,region
種,seed
濡れる,Get wet
臭い,odor
ボート,boat
医療,medical care
夢中,Absorption
一人一人,One by one
いただきます,I'll enjoy having this
動詞,verb
最高,Best
事実,fact
手品,Magic tricks
学期,semester
椅子,Chair
とんでもない,no way
頼る,rely
そのうち,One of the
金持ち,Rich man
経験,experience
祭,Festival
グループ,group
職業,Profession
餌,feed
発車,Departure
パーセント,percent
